destination_id,ten_diem_den,tinh_thanh,vung,forecast_granularity,forecast_horizon,diem_rui_ro_7_ngay,muc_rui_ro_7_ngay,ly_do,recommended_action,data_type,confidence_score,cap_nhat_luc,method_note
ninh_binh,Ninh Bình,Ninh Bình,Đồng bằng sông Hồng,ngày,7 ngày,43.78,xám,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,61.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ly_son,Lý Sơn,Quảng Ngãi,Đảo miền Trung,ngày,7 ngày,43.32,xám,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,61.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ha_noi,Hà Nội,Hà Nội,Đồng bằng sông Hồng,ngày,7 ngày,41.74,xám,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,61.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ha_giang,Hà Giang,Hà Giang,Miền núi phía Bắc,ngày,7 ngày,40.21,xám,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,61.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
phu_quoc,Phú Quốc,Kiên Giang,Đảo Tây Nam Bộ,ngày,7 ngày,35.5,xám,thiếu POI/nguồn kiểm định,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",mixed_proxy_thieu_du_lieu,61.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
phong_nha,Phong Nha - Kẻ Bàng,Quảng Bình,Bắc Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ba_na,Bà Nà Hills,Đà Nẵng,Duyên hải miền Trung,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
mai_chau,Mai Châu,Hòa Bình,Miền núi phía Bắc,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
tam_dao,Tam Đảo,Vĩnh Phúc,Trung du miền núi Bắc Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
pleiku,Pleiku,Gia Lai,Tây Nguyên,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
buon_ma_thuot,Buôn Ma Thuột,Đắk Lắk,Tây Nguyên,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
chau_doc,Châu Đốc,An Giang,Đồng bằng sông Cửu Long,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ba_vi,Ba Vì,Hà Nội,Đồng bằng sông Hồng,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
thien_cam,Thiên Cầm,Hà Tĩnh,Bắc Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
nhat_le,Nhật Lệ,Quảng Bình,Bắc Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
cua_tung,Cửa Tùng,Quảng Trị,Bắc Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
hai_tien,Hải Tiến,Thanh Hóa,Bắc Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
lang_co,Lăng Cô,Huế,Duyên hải miền Trung,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
cu_lao_cham,Cù Lao Chàm,Quảng Nam,Duyên hải miền Trung,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
tam_ky,Tam Kỳ,Quảng Nam,Duyên hải miền Trung,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
sa_huynh,Sa Huỳnh,Quảng Ngãi,Duyên hải miền Trung,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
my_khe,Mỹ Khê,Đà Nẵng,Duyên hải miền Trung,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
la_gi,La Gi,Bình Thuận,Nam Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
phan_thiet,Phan Thiết,Bình Thuận,Nam Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ky_co,Kỳ Co,Bình Định,Nam Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
binh_ba,Bình Ba,Khánh Hòa,Nam Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
cam_ranh,Cam Ranh,Khánh Hòa,Nam Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
phan_rang,Phan Rang - Tháp Chàm,Ninh Thuận,Nam Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
vinh_hy,Vĩnh Hy,Ninh Thuận,Nam Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ghenh_da_dia,Gành Đá Đĩa,Phú Yên,Nam Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
tuy_hoa,Tuy Hòa,Phú Yên,Nam Trung Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ha_tien,Hà Tiên,Kiên Giang,Tây Nam Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
co_to,Cô Tô,Quảng Ninh,Đông Bắc,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
tra_co,Trà Cổ,Quảng Ninh,Đông Bắc,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ho_tram,Hồ Tràm,Bà Rịa - Vũng Tàu,Đông Nam Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
can_gio,Cần Giờ,TP Hồ Chí Minh,Đông Nam Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
hon_son,Hòn Sơn,Kiên Giang,Đảo Tây Nam Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
nam_du,Nam Du,Kiên Giang,Đảo Tây Nam Bộ,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
bac_lieu,Bạc Liêu,Bạc Liêu,Đồng bằng sông Cửu Long,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ca_mau_dat_mui,Đất Mũi Cà Mau,Cà Mau,Đồng bằng sông Cửu Long,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
soc_trang,Sóc Trăng,Sóc Trăng,Đồng bằng sông Cửu Long,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
tra_vinh,Trà Vinh,Trà Vinh,Đồng bằng sông Cửu Long,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
do_son,Đồ Sơn,Hải Phòng,Đồng bằng sông Hồng,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
thinh_long,Thịnh Long,Nam Định,Đồng bằng sông Hồng,ngày,7 ngày,34.5,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,43.75,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
moc_chau,Mộc Châu,Sơn La,Miền núi phía Bắc,ngày,7 ngày,33.46,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,61.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
ben_tre,Bến Tre,Bến Tre,Đồng bằng sông Cửu Long,ngày,7 ngày,32.67,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,61.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
an_giang,An Giang,An Giang,Đồng bằng sông Cửu Long,ngày,7 ngày,31.97,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,61.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
can_tho,Cần Thơ,Cần Thơ,Đồng bằng sông Cửu Long,ngày,7 ngày,31.55,xám,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",mixed_proxy_thieu_du_lieu,61.5,21/05/2026 09:57,"Forecast tính trước bằng rule/proxy từ weather, POI, hotel price pressure và graph; AI chỉ giải thích, không tự bịa."
