rank,destination_id,ten_diem_den,tinh_thanh,vung,loai_hinh_du_lich,muc_canh_bao,diem_ap_luc,rui_ro_thoi_tiet,du_bao_24_gio,du_bao_7_ngay,du_bao_30_ngay,du_bao_3_thang,co_hoi_kinh_te,kha_nang_dieu_phoi,diem_san_sang_ha_tang,loai_du_lieu,do_tin_cay,nguyen_nhan_chinh,hanh_dong_de_xuat,hieu_qua_kinh_te_ky_vong,cap_nhat_lan_cuoi,nhiet_do_hien_tai,mua_hien_tai,gio_hien_tai,do_am_hien_tai,trang_thai_thoi_tiet_ngan,cap_nhat_thoi_tiet_luc,lat,lng,coastal_zone,diem_uu_tien_dau_tu,diem_suc_khoe_diem_den
16,phong_nha,Phong Nha - Kẻ Bàng,Quảng Bình,Bắc Trung Bộ,di sản; tự nhiên,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,17.5903,106.283,no,41.77,81.8
17,ba_na,Bà Nà Hills,Đà Nẵng,Duyên hải miền Trung,khu vui chơi; núi,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,15.995,107.997,no,41.77,81.8
18,mai_chau,Mai Châu,Hòa Bình,Miền núi phía Bắc,cộng đồng; núi,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,20.6629,105.083,no,41.77,81.8
19,tam_dao,Tam Đảo,Vĩnh Phúc,Trung du miền núi Bắc Bộ,núi; nghỉ dưỡng,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,21.4569,105.6442,no,41.77,81.8
20,pleiku,Pleiku,Gia Lai,Tây Nguyên,văn hóa; tự nhiên,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,13.9718,108.0151,no,41.77,81.8
21,buon_ma_thuot,Buôn Ma Thuột,Đắk Lắk,Tây Nguyên,văn hóa; tự nhiên,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,12.6667,108.05,no,41.77,81.8
22,chau_doc,Châu Đốc,An Giang,Đồng bằng sông Cửu Long,tâm linh; Mekong,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,10.705,105.1167,no,41.77,81.8
23,ba_vi,Ba Vì,Hà Nội,Đồng bằng sông Hồng,sinh thái; núi,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,21.082,105.374,no,41.77,81.8
24,thien_cam,Thiên Cầm,Hà Tĩnh,Bắc Trung Bộ,bãi biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,18.2597,106.1053,yes,41.77,81.8
25,nhat_le,Nhật Lệ,Quảng Bình,Bắc Trung Bộ,bãi biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,17.4833,106.6233,yes,41.77,81.8
26,cua_tung,Cửa Tùng,Quảng Trị,Bắc Trung Bộ,bãi biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,17.1012,107.1028,yes,41.77,81.8
27,hai_tien,Hải Tiến,Thanh Hóa,Bắc Trung Bộ,bãi biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,19.8605,105.9297,yes,41.77,81.8
28,lang_co,Lăng Cô,Huế,Duyên hải miền Trung,bãi biển; đầm phá,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,16.2383,108.0789,yes,41.77,81.8
29,cu_lao_cham,Cù Lao Chàm,Quảng Nam,Duyên hải miền Trung,đảo; biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,15.955,108.51,yes,41.77,81.8
30,tam_ky,Tam Kỳ,Quảng Nam,Duyên hải miền Trung,đô thị; biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,15.5736,108.474,yes,41.77,81.8
31,sa_huynh,Sa Huỳnh,Quảng Ngãi,Duyên hải miền Trung,bãi biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,14.6723,109.0588,yes,41.77,81.8
32,my_khe,Mỹ Khê,Đà Nẵng,Duyên hải miền Trung,bãi biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,16.0544,108.2478,yes,41.77,81.8
33,la_gi,La Gi,Bình Thuận,Nam Trung Bộ,bãi biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,10.6599,107.7722,yes,41.77,81.8
34,phan_thiet,Phan Thiết,Bình Thuận,Nam Trung Bộ,biển; đô thị,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,10.9804,108.2615,yes,41.77,81.8
35,ky_co,Kỳ Co,Bình Định,Nam Trung Bộ,bãi biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,13.895,109.291,yes,41.77,81.8
36,binh_ba,Bình Ba,Khánh Hòa,Nam Trung Bộ,đảo; biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,11.8535,109.23,yes,41.77,81.8
37,cam_ranh,Cam Ranh,Khánh Hòa,Nam Trung Bộ,biển; sân bay,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,11.902,109.2207,yes,41.77,81.8
38,phan_rang,Phan Rang - Tháp Chàm,Ninh Thuận,Nam Trung Bộ,biển; văn hóa,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,11.5826,108.9912,yes,41.77,81.8
39,vinh_hy,Vĩnh Hy,Ninh Thuận,Nam Trung Bộ,vịnh; biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,11.7183,109.19,yes,41.77,81.8
40,ghenh_da_dia,Gành Đá Đĩa,Phú Yên,Nam Trung Bộ,di sản địa chất; biển,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,13.3533,109.293,yes,41.77,81.8
41,tuy_hoa,Tuy Hòa,Phú Yên,Nam Trung Bộ,biển; đô thị,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,13.0955,109.3209,yes,41.77,81.8
42,ha_tien,Hà Tiên,Kiên Giang,Tây Nam Bộ,biển; cửa khẩu,xám,36.0,50.0,40.2,34.5,31.11,29.9,25.05,35.0,35.0,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,21/05/2026 13:18,,,,,thiếu dữ liệu,21/05/2026 13:18,10.3831,104.4875,yes,41.77,81.8
