"destination_id","ten_diem_den","tinh_thanh","vung","du_bao","diem_rui_ro_7_ngay","muc_rui_ro_7_ngay","ly_do","hanh_dong_de_xuat","cap_nhat_luc"
"tam_dao","Tam Đảo","Vĩnh Phúc","Trung du miền núi Bắc Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"pleiku","Pleiku","Gia Lai","Tây Nguyên","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"buon_ma_thuot","Buôn Ma Thuột","Đắk Lắk","Tây Nguyên","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"chau_doc","Châu Đốc","An Giang","Đồng bằng sông Cửu Long","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"ba_vi","Ba Vì","Hà Nội","Đồng bằng sông Hồng","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"thien_cam","Thiên Cầm","Hà Tĩnh","Bắc Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"nhat_le","Nhật Lệ","Quảng Bình","Bắc Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"cua_tung","Cửa Tùng","Quảng Trị","Bắc Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"hai_tien","Hải Tiến","Thanh Hóa","Bắc Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"lang_co","Lăng Cô","Huế","Duyên hải miền Trung","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"cu_lao_cham","Cù Lao Chàm","Quảng Nam","Duyên hải miền Trung","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"tam_ky","Tam Kỳ","Quảng Nam","Duyên hải miền Trung","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"sa_huynh","Sa Huỳnh","Quảng Ngãi","Duyên hải miền Trung","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"my_khe","Mỹ Khê","Đà Nẵng","Duyên hải miền Trung","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"la_gi","La Gi","Bình Thuận","Nam Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"phan_thiet","Phan Thiết","Bình Thuận","Nam Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"ky_co","Kỳ Co","Bình Định","Nam Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"binh_ba","Bình Ba","Khánh Hòa","Nam Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"cam_ranh","Cam Ranh","Khánh Hòa","Nam Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"phan_rang","Phan Rang - Tháp Chàm","Ninh Thuận","Nam Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"vinh_hy","Vĩnh Hy","Ninh Thuận","Nam Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"ghenh_da_dia","Gành Đá Đĩa","Phú Yên","Nam Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"tuy_hoa","Tuy Hòa","Phú Yên","Nam Trung Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"ha_tien","Hà Tiên","Kiên Giang","Tây Nam Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"co_to","Cô Tô","Quảng Ninh","Đông Bắc","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"tra_co","Trà Cổ","Quảng Ninh","Đông Bắc","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"ho_tram","Hồ Tràm","Bà Rịa - Vũng Tàu","Đông Nam Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"can_gio","Cần Giờ","TP Hồ Chí Minh","Đông Nam Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"hon_son","Hòn Sơn","Kiên Giang","Đảo Tây Nam Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"nam_du","Nam Du","Kiên Giang","Đảo Tây Nam Bộ","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"bac_lieu","Bạc Liêu","Bạc Liêu","Đồng bằng sông Cửu Long","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"ca_mau_dat_mui","Đất Mũi Cà Mau","Cà Mau","Đồng bằng sông Cửu Long","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"soc_trang","Sóc Trăng","Sóc Trăng","Đồng bằng sông Cửu Long","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"tra_vinh","Trà Vinh","Trà Vinh","Đồng bằng sông Cửu Long","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"do_son","Đồ Sơn","Hải Phòng","Đồng bằng sông Hồng","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"thinh_long","Thịnh Long","Nam Định","Đồng bằng sông Hồng","7 ngày","34.5","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"moc_chau","Moc Chau","Son La","northern_mountains","7 ngày","33.46","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"ben_tre","Ben Tre","Ben Tre","mekong_delta","7 ngày","32.67","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"an_giang","An Giang","An Giang","mekong_delta","7 ngày","31.97","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"can_tho","Can Tho","Can Tho","mekong_delta","7 ngày","31.55","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"nha_trang","Nha Trang","Khanh Hoa","south_central_coast","7 ngày","27.07","xám","thiếu POI/nguồn kiểm định","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","20/05/2026 17:50"
"con_dao","Con Dao","Ba Ria - Vung Tau","southeast_islands","7 ngày","22.68","xám","hạ tầng proxy yếu; thiếu POI/nguồn kiểm định","Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.","20/05/2026 17:50"
"sa_pa","Sa Pa","Lao Cai","northern_mountains","7 ngày","21.32","xám","thiếu POI/nguồn kiểm định","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","20/05/2026 17:50"
"ho_chi_minh_city","Ho Chi Minh City","Ho Chi Minh City","southeast","7 ngày","12.36","xám","thiếu POI/nguồn kiểm định","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","20/05/2026 17:50"
"da_lat","Da Lat","Lam Dong","central_highlands","7 ngày","13.0","xám","thiếu POI/nguồn kiểm định","Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.","20/05/2026 17:50"
