"diem_den","van_de","hanh_dong","doi_tuong_thuc_hien","chi_phi_trien_khai","loi_ich_ky_vong","logic_kinh_te","kpi_do_luong","diem_tac_dong_kinh_te","diem_kha_thi","diem_khan_cap","diem_uu_tien","muc_uu_tien","du_lieu_dung","do_tin_cay"
"Da Nang","còn dư địa hoặc cần theo dõi","Chia vé theo khung giờ, tăng nhân sự soát vé, đẩy QR/e-ticket","Khu vui chơi","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","66.78","77.76","63.06","75","Trung bình","mixed_proxy_near_real_time","76.5"
"Da Nang","còn dư địa hoặc cần theo dõi","Tạo voucher giờ thấp điểm, menu combo địa phương và điểm bán vệ tinh","Nhà hàng/OCOP","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","65.73","79.16","63.06","75","Trung bình","mixed_proxy_near_real_time","76.5"
"Da Nang","còn dư địa hoặc cần theo dõi","Tăng shuttle từ bãi đỗ vệ tinh và tuyến thay thế khi điểm áp lực tăng","Vận tải/shuttle","trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","67.83","72.86","63.06","74","Trung bình","mixed_proxy_near_real_time","76.5"
"Mui Ne","còn dư địa hoặc cần theo dõi","Điều chỉnh truyền thông, kích cầu điểm phụ, công bố cảnh báo trên dashboard/app","Chính quyền","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","57.95","69.1","60.78","69","Trung bình","mixed_proxy_near_real_time","76.5"
"Mui Ne","còn dư địa hoặc cần theo dõi","Phân luồng tại tuyến ven biển, đặt biển báo, tăng lực lượng ở nút vào bãi biển/POI","Công an/giao thông","trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","59.15","63.5","60.78","68","Trung bình","mixed_proxy_near_real_time","76.5"
"Mui Ne","còn dư địa hoặc cần theo dõi","Bán gói liên vùng, chuyển tour sang khung giờ thấp điểm hoặc điểm còn dư địa","Doanh nghiệp du lịch","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","58.25","69.8","60.78","69","Trung bình","mixed_proxy_near_real_time","76.5"
"Mui Ne","còn dư địa hoặc cần theo dõi","Tạo combo lưu trú dài hơn, voucher ăn uống địa phương và điều tiết giá theo trải nghiệm","Khách sạn","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","57.35","71.2","60.78","69","Trung bình","mixed_proxy_near_real_time","76.5"
"Mui Ne","còn dư địa hoặc cần theo dõi","Chia vé theo khung giờ, tăng nhân sự soát vé, đẩy QR/e-ticket","Khu vui chơi","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","57.8","70.5","60.78","69","Trung bình","mixed_proxy_near_real_time","76.5"
"Mui Ne","còn dư địa hoặc cần theo dõi","Tạo voucher giờ thấp điểm, menu combo địa phương và điểm bán vệ tinh","Nhà hàng/OCOP","thấp-trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","56.75","71.9","60.78","69","Trung bình","mixed_proxy_near_real_time","76.5"
"Mui Ne","còn dư địa hoặc cần theo dõi","Tăng shuttle từ bãi đỗ vệ tinh và tuyến thay thế khi điểm áp lực tăng","Vận tải/shuttle","trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","58.85","65.6","60.78","69","Trung bình","mixed_proxy_near_real_time","76.5"
"Sam Son","còn dư địa hoặc cần theo dõi","Điều chỉnh truyền thông, kích cầu điểm phụ, công bố cảnh báo trên dashboard/app","Chính quyền","cao","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","44.58","58.37","58.85","61","Trung bình","mixed_proxy_near_real_time","76.5"
"Sam Son","còn dư địa hoặc cần theo dõi","Phân luồng tại tuyến ven biển, đặt biển báo, tăng lực lượng ở nút vào bãi biển/POI","Công an/giao thông","trung bình","Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.","Vấn đề -> Hành động -> KPI thay đổi -> Hiệu quả kinh tế: giảm áp lực tại điểm nóng, tăng chi tiêu ăn uống/vận tải/lưu trú/vé ở vùng phụ và giảm chi phí xã hội do kẹt xe/quá tải.","Điểm áp lực; điểm điều phối; điểm hạ tầng; cơ hội kinh tế; doanh thu ăn uống/vé/lưu trú; phản hồi du khách","45.78","52.77","58.85","60","Trung bình","mixed_proxy_near_real_time","76.5"
