xep_hang,ten_diem_den,tinh_thanh,vung,muc_canh_bao,diem_ap_luc,diem_thoi_tiet,diem_ha_tang,diem_co_hoi_kinh_te,diem_dieu_phoi,du_bao_24_gio,du_bao_7_ngay,du_bao_30_ngay,loai_du_lieu,do_tin_cay,ly_do_xep_hang,hanh_dong_de_xuat,hieu_qua_kinh_te_du_kien,cap_nhat_lan_cuoi
11,Ninh Binh,Ninh Binh,red_river_delta,xám,48.38,85.38,23.27,19.82,35.0,59.48,43.78,34.4,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
12,Ly Son,Quang Ngai,central_coast_islands,xám,47.76,83.6,22.7,18.39,35.0,58.51,43.32,33.89,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
13,Ha Noi,Ha Noi,red_river_delta,xám,45.65,77.56,33.92,24.09,50.89,55.22,41.74,34.3,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
14,Ha Giang,Ha Giang,northern_mountains,xám,43.62,71.78,25.66,20.26,35.0,52.07,40.21,32.82,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
15,Phu Quoc,Kien Giang,mekong_islands,xám,37.76,57.28,48.71,45.72,41.8,43.62,35.5,35.28,mixed_proxy_thieu_du_lieu,61.5,thiếu POI/nguồn kiểm định,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
16,Phong Nha - Kẻ Bàng,Quảng Bình,Bắc Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
17,Bà Nà Hills,Đà Nẵng,Duyên hải miền Trung,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
18,Mai Châu,Hòa Bình,Miền núi phía Bắc,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
19,Tam Đảo,Vĩnh Phúc,Trung du miền núi Bắc Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
20,Pleiku,Gia Lai,Tây Nguyên,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
21,Buôn Ma Thuột,Đắk Lắk,Tây Nguyên,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
22,Châu Đốc,An Giang,Đồng bằng sông Cửu Long,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
23,Ba Vì,Hà Nội,Đồng bằng sông Hồng,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
24,Thiên Cầm,Hà Tĩnh,Bắc Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
25,Nhật Lệ,Quảng Bình,Bắc Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
26,Cửa Tùng,Quảng Trị,Bắc Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
27,Hải Tiến,Thanh Hóa,Bắc Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
28,Lăng Cô,Huế,Duyên hải miền Trung,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
29,Cù Lao Chàm,Quảng Nam,Duyên hải miền Trung,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
30,Tam Kỳ,Quảng Nam,Duyên hải miền Trung,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
31,Sa Huỳnh,Quảng Ngãi,Duyên hải miền Trung,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
32,Mỹ Khê,Đà Nẵng,Duyên hải miền Trung,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
33,La Gi,Bình Thuận,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
34,Phan Thiết,Bình Thuận,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
35,Kỳ Co,Bình Định,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
36,Bình Ba,Khánh Hòa,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
37,Cam Ranh,Khánh Hòa,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
38,Phan Rang - Tháp Chàm,Ninh Thuận,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
39,Vĩnh Hy,Ninh Thuận,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
40,Gành Đá Đĩa,Phú Yên,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
41,Tuy Hòa,Phú Yên,Nam Trung Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
42,Hà Tiên,Kiên Giang,Tây Nam Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
43,Cô Tô,Quảng Ninh,Đông Bắc,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
44,Trà Cổ,Quảng Ninh,Đông Bắc,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
45,Hồ Tràm,Bà Rịa - Vũng Tàu,Đông Nam Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
46,Cần Giờ,TP Hồ Chí Minh,Đông Nam Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
47,Hòn Sơn,Kiên Giang,Đảo Tây Nam Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
48,Nam Du,Kiên Giang,Đảo Tây Nam Bộ,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
49,Bạc Liêu,Bạc Liêu,Đồng bằng sông Cửu Long,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
50,Đất Mũi Cà Mau,Cà Mau,Đồng bằng sông Cửu Long,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
51,Sóc Trăng,Sóc Trăng,Đồng bằng sông Cửu Long,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
52,Trà Vinh,Trà Vinh,Đồng bằng sông Cửu Long,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
53,Đồ Sơn,Hải Phòng,Đồng bằng sông Hồng,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
54,Thịnh Long,Nam Định,Đồng bằng sông Hồng,xám,36.0,50.0,35.0,25.05,35.0,40.2,34.5,31.11,mixed_proxy_thieu_du_lieu,43.75,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
55,Moc Chau,Son La,northern_mountains,xám,34.61,46.02,32.1,24.31,35.0,38.03,33.46,30.48,mixed_proxy_thieu_du_lieu,61.5,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,20/05/2026 16:23
