rank,destination_id,ten_diem_den,tinh_thanh,vung,loai_hinh_du_lich,muc_canh_bao,diem_ap_luc,rui_ro_thoi_tiet,du_bao_24_gio,du_bao_7_ngay,du_bao_30_ngay,du_bao_3_thang,co_hoi_kinh_te,kha_nang_dieu_phoi,diem_san_sang_ha_tang,loai_du_lieu,do_tin_cay,nguyen_nhan_chinh,hanh_dong_de_xuat,hieu_qua_kinh_te_ky_vong,cap_nhat_lan_cuoi,lat,lng,coastal_zone,diem_uu_tien_dau_tu,diem_suc_khoe_diem_den
12,ly_son,Ly Son,Quang Ngai,central_coast_islands,island;coastal,xám,47.76,83.6,58.51,43.32,33.89,30.79,18.39,35.0,22.7,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,15.3833,109.1167,yes,46.35,64.42
13,ha_noi,Ha Noi,Ha Noi,red_river_delta,urban;heritage;gateway,xám,45.65,77.56,55.22,41.74,34.3,32.26,24.09,50.89,33.92,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,21.0278,105.8342,no,44.18,70.24
14,ha_giang,Ha Giang,Ha Giang,northern_mountains,mountain;nature,xám,43.62,71.78,52.07,40.21,32.82,30.31,20.26,35.0,25.66,mixed_proxy_thieu_du_lieu,61.5,rủi ro thời tiết cao; hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,22.8233,104.9836,no,45.03,70.12
15,phu_quoc,Phu Quoc,Kien Giang,mekong_islands,island;coastal,xám,37.76,57.28,43.62,35.5,35.28,37.37,45.72,41.8,48.71,mixed_proxy_thieu_du_lieu,61.5,thiếu POI/nguồn kiểm định,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,10.2899,103.9840,yes,45.68,83.3
16,moc_chau,Moc Chau,Son La,northern_mountains,mountain;nature,xám,34.61,46.02,38.03,33.46,30.48,29.25,24.31,35.0,32.1,mixed_proxy_thieu_du_lieu,61.5,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,20.8297,104.6946,no,42.14,82.55
17,ben_tre,Ben Tre,Ben Tre,mekong_delta,mekong;nature,xám,33.56,43.02,36.4,32.67,30.2,29.12,24.78,35.0,32.84,mixed_proxy_thieu_du_lieu,61.5,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,10.2434,106.3756,no,41.81,84.0
18,an_giang,An Giang,An Giang,mekong_delta,mekong;heritage;nature,xám,32.63,40.38,34.96,31.97,29.96,29.01,25.2,35.0,33.51,mixed_proxy_thieu_du_lieu,61.5,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,10.5216,105.1259,no,41.51,85.27
19,can_tho,Can Tho,Can Tho,mekong_delta,mekong;urban,xám,32.07,38.76,34.08,31.55,30.16,29.56,27.16,35.0,34.92,mixed_proxy_thieu_du_lieu,61.5,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,10.0452,105.7469,no,41.66,86.35
20,nha_trang,Nha Trang,Khanh Hoa,south_central_coast,coastal;urban,xám,28.72,43.08,33.03,27.07,29.33,32.79,46.63,35.0,50.78,mixed_proxy_thieu_du_lieu,61.5,thiếu POI/nguồn kiểm định,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,12.2388,109.1967,yes,43.06,91.54
21,con_dao,Con Dao,Ba Ria - Vung Tau,southeast_islands,island;coastal;heritage,xám,27.69,65.62,39.07,22.68,19.14,21.31,30.01,35.0,36.71,mixed_proxy_thieu_du_lieu,61.5,hạ tầng proxy yếu; thiếu POI/nguồn kiểm định,"Không đẩy khách đại trà; ưu tiên bãi đỗ, vệ sinh công cộng, biển chỉ dẫn, QR vé và điểm thông tin du lịch.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,8.6864,106.6082,yes,41.08,82.15
22,sa_pa,Sa Pa,Lao Cai,northern_mountains,mountain;nature,xám,24.69,50.8,32.52,21.32,21.61,25.22,39.64,35.0,44.99,mixed_proxy_thieu_du_lieu,61.5,thiếu POI/nguồn kiểm định,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,22.3364,103.8438,no,41.28,89.69
23,ho_chi_minh_city,Ho Chi Minh City,Ho Chi Minh City,southeast,urban;gateway,xám,16.48,47.1,25.67,12.36,12.3,16.37,32.66,75.2,40.17,mixed_proxy_thieu_du_lieu,61.5,thiếu POI/nguồn kiểm định,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,10.8231,106.6297,no,38.12,92.86
24,da_lat,Da Lat,Lam Dong,central_highlands,mountain;urban,xám,16.38,41.74,23.99,13.0,18.25,25.82,56.12,35.0,55.42,mixed_proxy_thieu_du_lieu,61.5,thiếu POI/nguồn kiểm định,"Theo dõi thời tiết, giá/lưu trú và sự kiện; chuẩn bị shuttle, voucher giờ thấp điểm.",Tăng doanh thu mùa thấp điểm và kéo dài thời gian lưu trú nếu kích cầu đúng phân khúc.,2026-05-20T12:42:21+07:00,11.9404,108.4583,no,42.15,98.82
